id,nombre,lugar_asoc,direccion,lat,lon
276,Esc Media N°2,,Lacarra y Bilbao,-58.475,-34.6452
277,USAL Filosofía y Letras,,Lavalle 1878,-58.3936,-34.6033
278,Chungo,,Av. Juan B. Alberdi 1250,-58.4455,-34.6243
279,Nextel,,Av. Fco. Beiró 3456,-58.5015,-34.5997
280,Nextel,,Av.Cabildo 451,-58.4413,-34.5716
281,Chungo,,Av.Cabildo 2231,-58.4576,-34.5607
282,Sede Comuna 15,,Av.Córdoba 5690,-58.4413,-34.587
283,DG Música,,Curapaligüe 585,-58.4514,-34.6315
284,Nextel,,Medrano 780,-58.4208,-34.601
285,Sede Comuna 12,,Miller 2751,-58.4829,-34.5687
286,Chungo,,Olazébal 5092,-58.4857,-34.5766
287,Sede Comuna 11,,Ricardo Gutiérrez 3254,-58.4961,-34.6019
288,Nextel,,Av Callao 410,-58.3925,-34.6043
289,Base Chacabuco de Cuerpo de Agentes,,Emilio Mitre 981,-58.4412,-34.6325
290,La Biela,,Av. Quintana 600,-58.3909,-34.5879
291,VÍA PÚBLICA,,Av. Pueyrredón y Anchorena,-58.3998,-34.5891
292,Plaza Rodríguez Peña,,Rodríguez Peña y Marcelo T. de Alvear,-58.3918,-34.5972
293,Plaza Rodríguez Peña,,Rodríguez Peña y Paraguay,-58.3917,-34.5986
294,Bar Libertad,,Uriarte y Gorriti,-58.433,-34.5881
295,Kentucky,,Costa Rica y Fitz Roy,-58.4346,-34.5827
296,Plaza Palermo Viejo,,Costa Rica y Armenia,-58.4262,-34.5887
297,Agarrate Catalina,,Costa Rica 4605,-58.4262,-34.5885
298,Chungo,,Humboldt 1906,-58.4338,-34.5832
299,QM,,Gurruchaga y Costa Rica,-58.4272,-34.588
300,Librería,,Gurruchaga y Honduras,-58.4292,-34.5893
301,Diesel,,Gurruchaga y El Salvador,-58.4282,-34.5887
302,Restaurante,,Honduras y Fitz Roy,-58.4363,-34.5842
303,Esc. Técnica N° 19 Alejandro Volta,,Lavalle 1681,-58.3909,-34.6029
304,Universidad Tecnológica Nacional,,Medrano 951,-58.4201,-34.5986
305,Universidad Tecnológica Nacional,,Mozart 2350,-58.4687,-34.6595
306,Liceo N° 01 Jose Figueroa Alcorta,,Av. Santa Fe 2778,-58.406,-34.5929
307,Escuela Normal Superior N 3 (ANEXO),,Saraza 4204,-58.4675,-34.6608
308,Sede Comuna 2,,Uriburu 1022,-58.399,-34.5966
309,Dirección General de Museos,,Av. de los Italianos 851,-58.3601,-34.6095
310,DG Museos,,Av. de los Italianos 851,-58.36,-34.6093
311,Tea Conection,,Arcos y Echeverría,-58.4531,-34.5614
312,Carabobo,LINEA A,Av. Rivadavia y Av. Carabobo,-58.4564,-34.6267
313,Puan,LINEA A,Av. Rivadavia y Puan,-58.4488,-34.6237
314,Acoyte,LINEA A,Av. Rivadavia y Av. Acoyte,-58.4362,-34.6183
315,Rio de Janeiro,LINEA A,Av. Rivadavia y Rio de Janeiro,-58.4285,-34.6149
316,Castro Barros,LINEA A,Av. Rivadavia 3900 entre Castro Barros y Yapeyú,-58.4217,-34.6119
317,Loria,LINEA A,Av. Rivadavia 3400 entre Sanchez de Loria y Virrey Liniers,-58.4153,-34.6109
318,Plaza Miserere,LINEA A,Av. Rivadavia y Av. Jujuy,-58.4077,-34.6101
319,Alberti,LINEA A,Av. Rivadavia 2400 entre Alberti y Matheu,-58.4007,-34.61
320,Congreso,LINEA A,Av. Rivadavia y Av. Entre Rios,-58.3893,-34.6092
321,Saenz Peña,LINEA A,Av. de Mayo 1400 entre Saenz Peña y San José,-58.3863,-34.6095
322,Lima,LINEA A,Av. de Mayo 1200 entre Salta y Lima,-58.3823,-34.6092
323,Piedras,LINEA A,Av. de Mayo 700 entre Tacuarí y Piedras,-58.3787,-34.609
324,Perú,LINEA A,Av. de Mayo 500 entre Perú y Bolivar,-58.3746,-34.6084
325,Plaza de Mayo,LINEA A,Av. de Mayo 300 entre Defensa y Balcarse,-58.3709,-34.609
326,Tronador- Villa Ortúzar,LINEA B,Av. Triunvirato y Tronador,-58.4663,-34.5843
327,F. Lacroze,LINEA B,Av. Corrientes y Av. F. Lacroze,-58.4548,-34.5886
328,Dorrego,LINEA B,Av. Corrientes 6100,-58.4485,-34.591
329,Malabia,LINEA B,Av. Corrientes 5200 entre Malabia y Av. Scalabrini Ortíz,-58.4398,-34.5991
330,Angel Gallardo,LINEA B,Av. Corrientes 4600,-58.4313,-34.602
331,Carlos Gardel,LINEA B,Av. Corrientes 3200 entre Agüero y Anchorena,-58.4119,-34.604
332,Pueyrredón,LINEA B,Av. Corrientes 2800,-58.4053,-34.6047
333,Pasteur,LINEA B,Av. Corrientes 2200 entre Pasteur y Pte. Jose E. Uriburu,-58.399,-34.6045
334,Callao,LINEA B,Av. Corrientes 1700 entre Av. Callao y Rodriguez Peña,-58.3924,-34.6043
335,Uruguay,LINEA B,Av. Corrientes 1400 entre Parana y Uruguay,-58.3878,-34.604
336,Carlos Pellegrini,LINEA B,Av. Corrientes 900 entre Carlos Pellegrini y Suipacha,-58.3809,-34.6034
337,Florida,LINEA B,Av. Corrientes 500 entre Florida y San Martín,-58.3745,-34.6034
338,Leandro N. Alem,LINEA B,Av. Corrientes 100,-58.3696,-34.6031
339,Gral. San Martín,LINEA C,Av. Santa Fé 750 entre Esmeralda y Maipú,-58.3771,-34.5953
340,Av. de mayo,LINEA C,Av. de Mayo 970,-58.3802,-34.6091
341,San Juan,LINEA C,Av. San Juan 968,-58.3795,-34.6223
342,Constitución,LINEA C,Av. Brasil 1103,-58.3798,-34.6279
343,Congreso de Tucumán,LINEA D,Av. Cabildo 2800 entre Av. Congreso y Manuel Ugarte,-58.462,-34.5558
344,Juramento,LINEA D,Av. cabildo 2000 entre Juramento y Echeverria,-58.4561,-34.5625
345,Olleros,LINEA D,Av. Cabildo 700 entre Av. F. Lacroze y Av. Olleros,-58.4442,-34.5705
