linea;desde;hasta;estacion;pasajeros
A;05:45;05:59;Pasco;2
H;05:45;05:59;Inclan;5
A;05:45;05:59;Flores;4
C;05:45;05:59;San Juan;8
A;05:45;05:59;Plaza Miserere;22
A;05:45;05:59;Congreso;4
B;05:45;05:59;Rosas;20
B;05:45;05:59;Medrano;8
C;05:45;05:59;Lavalle;4
D;05:45;05:59;Olleros;6
A;05:45;05:59;Peru;6
D;05:45;05:59;Pueyrredon.;5
A;05:45;05:59;Loria;2
D;05:45;05:59;Callao.;3
E;05:45;05:59;Independencia.;4
D;05:45;05:59;9 de julio;3
H;05:45;05:59;Corrientes;3
A;05:45;05:59;Primera Junta;16
A;05:45;05:59;Plaza de Mayo;2
B;05:45;05:59;Carlos Gardel;8
D;05:45;05:59;Congreso de Tucuman;18
E;05:45;05:59;Jose Maria Moreno;7
C;05:45;05:59;Independencia;8
E;05:45;05:59;General Belgrano;6
D;05:45;05:59;Juramento;8
B;05:45;05:59;Uruguay;1
B;05:45;05:59;Federico Lacroze;57
D;05:45;05:59;Facultad de Medicina;1
E;05:45;05:59;Boedo;3
D;05:45;05:59;Jose Hernandez;5
A;05:45;05:59;Saenz Peña;1
H;05:45;05:59;Venezuela;9
H;05:45;05:59;Hospitales;10
C;05:45;05:59;Avenida de Mayo;5
E;05:45;05:59;Varela;3
A;05:45;05:59;Carabobo;11
E;05:45;05:59;Bolivar;13
A;05:45;05:59;Rio de Janeiro;3
E;05:45;05:59;San Jose;5
B;05:45;05:59;Echeverria;1
B;05:45;05:59;Carlos Pellegrini;20
B;05:45;05:59;Los Incas;9
A;05:45;05:59;Acoyte;8
B;05:45;05:59;Pasteur;7
D;05:45;05:59;Ministro Carranza;2
C;05:45;05:59;Retiro;62
D;05:45;05:59;Plaza Italia;12
E;05:45;05:59;Pichincha;4
E;05:45;05:59;Entre Rios;16
A;05:45;05:59;Castro Barros;3
B;05:45;05:59;Pueyrredon;11
A;05:45;05:59;Lima;6
B;05:45;05:59;Florida;2
C;05:45;05:59;Constitucion;705
E;05:45;05:59;Emilio Mitre;2
H;05:45;05:59;Patricios;5
E;05:45;05:59;Medalla Milagrosa;2
C;05:45;05:59;Diagonal Norte;3
D;06:00;06:14;Pueyrredon.;9
D;06:00;06:14;9 de julio;11
E;06:00;06:14;Bolivar;13
B;06:00;06:14;Federico Lacroze;109
D;06:00;06:14;Plaza Italia;13
E;06:00;06:14;Jose Maria Moreno;5
B;06:00;06:14;Florida;10
D;06:00;06:14;Juramento;14
A;06:00;06:14;Castro Barros;2
E;06:00;06:14;Jujuy;1
E;06:00;06:14;Medalla Milagrosa;2
B;06:00;06:14;Leandro N. Alem;68
A;06:00;06:14;Primera Junta;13
D;06:00;06:14;Callao.;6
B;06:00;06:14;Malabia;6
D;06:00;06:14;Scalabrini Ortiz;9
A;06:00;06:14;Flores;8
E;06:00;06:14;Pza. de los Virreyes;39
B;06:00;06:14;Los Incas;13
E;06:00;06:14;Urquiza;2
E;06:00;06:14;Varela;2
E;06:00;06:14;Boedo;7
E;06:00;06:14;Emilio Mitre;4
D;06:00;06:14;Aguero;7
H;06:00;06:14;Caseros;11
E;06:00;06:14;Independencia.;9
B;06:00;06:14;Angel Gallardo;12
A;06:00;06:14;Pasco;5
D;06:00;06:14;Facultad de Medicina;5
D;06:00;06:14;Congreso de Tucuman;29
H;06:00;06:14;Humberto I;2
A;06:00;06:14;Puan;3
B;06:00;06:14;Uruguay;9
D;06:00;06:14;Bulnes;6
A;06:00;06:14;Saenz Peña;7
A;06:00;06:14;Rio de Janeiro;4
D;06:00;06:14;Catedral;15
C;06:00;06:14;General San Martin;8
A;06:00;06:14;Peru;3
H;06:00;06:14;Hospitales;13
H;06:00;06:14;Venezuela;2
A;06:00;06:14;Acoyte;28
C;06:00;06:14;Retiro;144
